title,category,claude_disruption,claude_elasticity,claude_net_effect,opus_disruption,opus_elasticity,opus_net_effect,openai_disruption,openai_elasticity,openai_net_effect,gpt55_disruption,gpt55_elasticity,gpt55_net_effect,fable5_disruption,fable5_elasticity,fable5_net_effect,grok45_disruption,grok45_elasticity,grok45_net_effect
Actors,entertainment-and-sports,7,6,restructure,5,5,resilient,6,5,resilient,7,5,restructure,7,3,replace,5,7,resilient
Actuaries,math,7,4,replace,7,4,replace,6,4,resilient,8,4,replace,8,4,replace,8,4,replace
Administrative services and facilities managers,management,6,4,resilient,5,4,resilient,5,5,resilient,6,4,resilient,5,3,resilient,5,5,resilient
Adult basic and secondary education and ESL teachers,education-training-and-library,6,8,augment,6,5,resilient,6,4,resilient,7,6,restructure,7,3,replace,7,5,restructure
"Advertising, promotions, and marketing managers",management,8,7,augment,7,7,augment,7,7,augment,7,6,restructure,7,5,restructure,7,7,augment
Aerospace engineering and operations technologists and technicians,architecture-and-engineering,6,4,resilient,4,6,resilient,5,6,resilient,6,6,resilient,4,6,resilient,5,6,resilient
Aerospace engineers,architecture-and-engineering,7,6,restructure,7,6,restructure,6,7,augment,7,6,restructure,7,5,restructure,7,6,restructure
Agricultural and food science technicians,life-physical-and-social-science,6,7,augment,4,5,resilient,5,6,resilient,5,6,resilient,4,5,resilient,5,5,resilient
Agricultural and food scientists,life-physical-and-social-science,6,7,augment,5,6,resilient,6,7,augment,7,6,restructure,5,6,resilient,7,7,augment
Agricultural engineers,architecture-and-engineering,7,8,augment,6,6,resilient,6,5,resilient,6,6,resilient,5,6,resilient,7,6,restructure
Agricultural workers,farming-fishing-and-forestry,3,2,resilient,2,3,resilient,3,4,resilient,4,3,resilient,2,3,resilient,3,2,resilient
Air traffic controllers,transportation-and-material-moving,6,2,resilient,5,2,resilient,5,3,resilient,7,2,replace,5,2,resilient,5,3,resilient
Aircraft and avionics equipment mechanics and technicians,installation-maintenance-and-repair,3,2,resilient,3,4,resilient,3,4,resilient,4,4,resilient,3,4,resilient,4,4,resilient
Airline and commercial pilots,transportation-and-material-moving,4,3,resilient,3,5,resilient,3,4,resilient,6,4,resilient,4,5,resilient,5,5,resilient
Animal care and service workers,personal-care-and-service,2,6,resilient,1,5,resilient,2,5,resilient,2,6,resilient,1,6,resilient,3,5,resilient
Announcers and DJs,media-and-communication,8,4,replace,6,4,resilient,7,5,restructure,7,3,replace,7,3,replace,7,3,replace
"Arbitrators, mediators, and conciliators",legal,6,3,resilient,5,4,resilient,6,5,resilient,7,6,restructure,6,6,resilient,5,5,resilient
Architects,architecture-and-engineering,7,6,restructure,7,6,restructure,6,7,augment,7,5,restructure,7,5,restructure,7,6,restructure
Architectural and engineering managers,management,6,5,restructure,6,6,resilient,6,5,resilient,7,5,restructure,7,5,restructure,7,5,restructure
Art directors,arts-and-design,8,7,augment,7,7,augment,7,7,augment,8,7,augment,8,6,restructure,7,7,augment
Assemblers and fabricators,production,4,2,resilient,3,3,resilient,3,2,resilient,6,4,resilient,4,4,resilient,4,3,resilient
Athletes and sports competitors,entertainment-and-sports,2,3,resilient,1,3,resilient,2,5,resilient,2,3,resilient,1,3,resilient,2,3,resilient
Athletic trainers,healthcare,4,6,resilient,3,6,resilient,3,5,resilient,4,6,resilient,3,6,resilient,5,5,resilient
"Atmospheric scientists, including meteorologists",life-physical-and-social-science,6,4,resilient,7,5,restructure,6,5,resilient,7,6,restructure,8,4,replace,7,5,restructure
Audiologists,healthcare,5,7,resilient,4,6,resilient,4,5,resilient,5,6,resilient,4,5,resilient,5,6,resilient
Automotive service technicians and mechanics,installation-maintenance-and-repair,4,2,resilient,3,4,resilient,3,5,resilient,4,3,resilient,3,4,resilient,4,3,resilient
Bakers,production,3,2,resilient,2,3,resilient,2,5,resilient,3,4,resilient,2,4,resilient,3,3,resilient
"Barbers, hairstylists, and cosmetologists",personal-care-and-service,2,4,resilient,1,2,resilient,2,3,resilient,2,4,resilient,1,3,resilient,3,4,resilient
Bartenders,food-preparation-and-serving,3,2,resilient,2,4,resilient,2,3,resilient,3,4,resilient,2,5,resilient,3,4,resilient
Biochemists and biophysicists,life-physical-and-social-science,7,8,augment,6,7,resilient,6,7,augment,7,7,augment,6,7,resilient,7,8,augment
Bioengineers and biomedical engineers,architecture-and-engineering,7,8,augment,6,7,resilient,7,6,restructure,7,6,restructure,6,7,resilient,7,7,augment
Biological technicians,life-physical-and-social-science,6,7,augment,5,6,resilient,6,5,resilient,6,7,resilient,4,6,resilient,5,6,resilient
Boilermakers,construction-and-extraction,3,2,resilient,1,3,resilient,2,1,resilient,3,2,resilient,1,2,resilient,2,3,resilient
"Broadcast, sound, and video technicians",media-and-communication,6,7,augment,5,5,resilient,6,5,resilient,6,6,resilient,5,5,resilient,5,6,resilient
Budget analysts,business-and-financial,7,3,replace,8,3,replace,7,5,restructure,8,3,replace,8,3,replace,8,4,replace
Bus drivers,transportation-and-material-moving,3,2,resilient,2,3,resilient,2,3,resilient,5,4,resilient,4,4,resilient,3,4,resilient
Butchers,production,2,1,resilient,1,2,resilient,2,1,resilient,2,2,resilient,1,3,resilient,3,2,resilient
Calibration technologists and technicians,installation-maintenance-and-repair,4,3,resilient,4,5,resilient,4,5,resilient,5,4,resilient,3,4,resilient,4,3,resilient
Cardiovascular technologists and technicians,healthcare,4,2,resilient,4,5,resilient,5,4,resilient,5,4,resilient,4,5,resilient,5,4,resilient
Career and technical education teachers,education-training-and-library,5,7,resilient,4,5,resilient,4,5,resilient,6,5,resilient,4,5,resilient,5,4,resilient
Carpenters,construction-and-extraction,3,2,resilient,2,5,resilient,2,3,resilient,3,6,resilient,2,5,resilient,3,4,resilient
Cartographers and photogrammetrists,architecture-and-engineering,8,7,augment,8,6,restructure,7,6,restructure,8,6,restructure,8,5,restructure,8,7,augment
Cashiers,sales,8,1,replace,5,1,resilient,8,2,replace,7,2,replace,7,2,replace,7,2,replace
Chefs and head cooks,food-preparation-and-serving,4,6,resilient,2,5,resilient,3,5,resilient,4,5,resilient,3,5,resilient,4,5,resilient
Chemical engineers,architecture-and-engineering,6,4,resilient,5,4,resilient,6,5,resilient,6,5,resilient,6,5,resilient,7,6,restructure
Chemical technicians,life-physical-and-social-science,5,4,resilient,4,5,resilient,5,4,resilient,5,6,resilient,4,5,resilient,5,5,resilient
Chemists and materials scientists,life-physical-and-social-science,6,7,augment,6,7,resilient,6,5,resilient,7,6,restructure,6,7,resilient,7,7,augment
Childcare workers,personal-care-and-service,3,8,resilient,1,3,resilient,2,3,resilient,2,6,resilient,1,4,resilient,3,6,resilient
Chiropractors,healthcare,3,6,resilient,2,4,resilient,3,5,resilient,3,5,resilient,2,4,resilient,4,5,resilient
Civil engineers,architecture-and-engineering,6,7,augment,6,6,resilient,5,6,resilient,6,4,resilient,6,5,resilient,7,6,restructure
Clinical laboratory technologists and technicians,healthcare,6,3,resilient,5,5,resilient,6,4,resilient,6,5,resilient,5,5,resilient,5,4,resilient
Coaches and scouts,entertainment-and-sports,4,7,resilient,3,6,resilient,4,6,resilient,5,6,resilient,4,6,resilient,5,6,resilient
Community health workers,community-and-social-service,4,8,resilient,3,6,resilient,4,7,resilient,5,7,resilient,3,6,resilient,5,6,resilient
Compensation and benefits managers,management,7,3,replace,7,3,replace,6,4,resilient,7,4,replace,7,3,replace,7,5,restructure
"Compensation, benefits, and job analysis specialists",business-and-financial,7,3,replace,8,3,replace,7,6,restructure,8,4,replace,8,3,replace,7,5,restructure
Compliance officers,business-and-financial,7,4,replace,7,4,replace,6,5,resilient,7,4,replace,7,5,restructure,7,5,restructure
Computer and information systems managers,management,7,8,augment,6,7,resilient,7,8,augment,7,7,augment,7,6,restructure,7,7,augment
Computer hardware engineers,architecture-and-engineering,7,8,augment,7,7,augment,6,7,augment,8,7,augment,7,7,augment,7,8,augment
Computer network architects,computer-and-information-technology,7,8,augment,7,7,augment,7,6,restructure,7,6,restructure,7,6,restructure,7,8,augment
Computer programmers,computer-and-information-technology,9,8,augment,9,6,restructure,9,6,restructure,9,6,restructure,9,4,replace,9,6,restructure
Computer support specialists,computer-and-information-technology,8,3,replace,8,4,replace,7,4,restructure,8,4,replace,8,3,replace,8,4,replace
Computer systems analysts,computer-and-information-technology,8,7,augment,8,7,augment,7,7,augment,8,7,augment,8,6,restructure,8,7,augment
Concierges,personal-care-and-service,6,3,restructure,5,4,resilient,4,3,resilient,6,5,resilient,5,3,resilient,5,4,resilient
Conservation scientists and foresters,life-physical-and-social-science,4,6,resilient,4,5,resilient,4,5,resilient,6,5,resilient,4,5,resilient,5,4,resilient
Construction and building inspectors,construction-and-extraction,5,2,resilient,4,3,resilient,3,3,resilient,5,3,resilient,4,3,resilient,5,3,resilient
Construction equipment operators,construction-and-extraction,3,2,resilient,2,4,resilient,2,4,resilient,4,4,resilient,3,5,resilient,3,5,resilient
Construction laborers and helpers,construction-and-extraction,2,3,resilient,1,5,resilient,1,3,resilient,2,7,resilient,1,6,resilient,2,6,resilient
Construction managers,management,5,7,resilient,5,6,resilient,5,6,resilient,6,5,resilient,5,5,resilient,5,5,resilient
Cooks,food-preparation-and-serving,3,6,resilient,2,6,resilient,2,5,resilient,4,6,resilient,2,5,resilient,3,6,resilient
